G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
1,0,0,1,-151.2918120,-9.677452000,85.80016200,0.400750000,-0.132935000,-0.267815000
1,0,0,1,-336.1861830,-76.28326200,18.32889700,0.312732000,-0.123633000,-0.189099000
1,0,0,1,-502.891583,-174.6480230,-80.92466300,0.265728000,-0.114301000,-0.151428000
1,0,0,1,-593.9419050,-217.7033590,-124.8919240,0.235511000,-0.104940000,-0.130570000
1,0,0,1,-643.6636170,-224.1594270,-132.2828150,0.20953700,-0.095554000,-0.113983000
1,0,0,1,-632.3127780,-181.714572,-90.79545300,0.193116000,-0.086144000,-0.106972000
1,0,0,1,-557.3918090,-119.4686430,-29.52945000,0.210004000,-0.076712000,-0.133291000
1,0,0,1,-458.799929,-96.31892200,-7.381847000,0.273652000,-0.067262000,-0.206389000
1,0,0,1,-385.6687290,-97.9898390,-10.07682400,0.334649000,-0.057795000,-0.276853000
1,0,0,1,-359.9293380,-87.31947800,-0.452216000,0.347420000,-0.048314000,-0.299106000
1,0,0,1,-370.6274980,-66.72024900,19.07982800,0.323889000,-0.038821000,-0.285068000
1,0,0,1,-418.5368050,-49.02235400,35.68936700,0.274574000,-0.029319000,-0.245255000
1,0,0,1,-501.663179,-55.26363600,28.33882800,0.21780900,-0.019809000,-0.198000000
1,0,0,1,-597.9307170,-96.59776600,-14.12518700,0.179217000,-0.01029400,-0.168923000
1,0,0,1,-668.7147400,-136.7722780,-55.44993200,0.160162000,-0.000777000,-0.159385000
1,0,0,1,-695.7762890,-141.5324760,-61.38042800,0.147641000,0.008740000,-0.156381000
1,0,0,1,-689.3620580,-118.6589240,-39.69695100,0.139482000,0.018256000,-0.157737000
1,0,0,1,-657.620238,-87.18732300,-9.434908000,0.143773000,0.0277660,-0.171539000
1,0,0,1,-608.7362400,-64.94908000,11.5745940,0.167518000,0.03727000,-0.204788000
1,0,0,1,-562.5856130,-60.91784600,14.35820400,0.201832000,0.046765000,-0.248597000
1,0,0,1,-540.0490860,-61.82015600,12.18969800,0.2204050,0.056248000,-0.276653000
1,0,0,1,-547.0155780,-53.87059300,18.85480400,0.208581000,0.06571700,-0.274298000
1,0,0,1,-576.131384,-42.94978700,28.47320900,0.177478000,0.075170000,-0.252648000
1,0,0,1,-620.1411480,-42.15086600,27.95210600,0.143300000,0.084605000,-0.227905000
1,0,0,1,-671.4912390,-57.20307300,11.56257900,0.116330000,0.094019000,-0.210348000
1,0,0,1,-716.5665000,-79.85244500,-12.44108000,0.100397000,0.103409000,-0.203806000
1,0,0,1,-739.9866390,-90.91789700,-24.87745200,0.092266000,0.112774000,-0.205040000
1,0,0,1,-738.1559150,-81.59280000,-16.93957100,0.08762600,0.122111000,-0.209737000
1,0,0,1,-719.6744490,-62.48158700,0.768475000,0.087876000,0.131418000,-0.219294000
1,0,0,1,-694.3192700,-47.92105900,13.91023000,0.096317000,0.140693000,-0.237010000
1,0,0,1,-669.6007290,-43.30994600,17.08731400,0.111130000,0.14993200,-0.261062000
1,0,0,1,-654.1055690,-44.78447600,14.16385300,0.122625000,0.159135000,-0.281760000
1,0,0,1,-654.5536270,-44.53472300,12.95013000,0.119844000,0.16829900,-0.288143000
1,0,0,1,-670.7023220,-40.46408500,15.5431090,0.101783000,0.177421000,-0.279204000
1,0,0,1,-696.3007300,-38.61234400,15.90337200,0.078340000,0.186499000,-0.264839000
1,0,0,1,-724.5952480,-44.50652400,8.504262000,0.059088000,0.195531000,-0.254619000
1,0,0,1,-749.5639270,-55.91185500,-4.419078000,0.046813000,0.204516000,-0.25132900
1,0,0,1,-765.0091070,-64.41345500,-14.45139200,0.039569000,0.213449000,-0.253018000
1,0,0,1,-766.5480150,-62.7524640,-14.33344200,0.034989000,0.222330000,-0.257319000
1,0,0,1,-755.860827,-52.33045800,-5.46642400,0.032738000,0.231156000,-0.263894000
1,0,0,1,-739.5017950,-41.59137700,3.706105000,0.034195000,0.239925000,-0.274120000
1,0,0,1,-724.0423070,-36.90443000,6.815325000,0.039087000,0.248635000,-0.287722000
1,0,0,1,-713.6556400,-37.54192700,4.589313000,0.043598000,0.257283000,-0.300882000
1,0,0,1,-711.1845620,-38.96511500,1.567214000,0.042109000,0.265868000,-0.30797700
1,0,0,1,-717.61174,-38.33916200,0.58425700,0.03190500,0.274388000,-0.306293000
1,0,0,1,-730.8728840,-37.25322300,0.051681000,0.016042000,0.28283900,-0.298881000
1,0,0,1,-746.4500890,-39.14069500,-3.463510000,0.000792000,0.291221000,-0.29201400
1,0,0,1,-759.9000140,-44.53652300,-10.49586100,-0.010053000,0.299531000,-0.289479000
1,0,0,1,-767.9065580,-49.71114900,-17.31540700,-0.01693900,0.307767000,-0.290829000
1,0,0,1,-768.5003620,-50.20716400,-19.46433700,-0.02191400,0.315928000,-0.294014000
1,0,0,1,-761.6230140,-45.06257800,-15.98025100,-0.025737000,0.324010000,-0.298273000
1,0,0,1,-750.0336790,-37.83102700,-10.41637500,-0.027847000,0.332012000,-0.304165000
1,0,0,1,-737.9861910,-33.08663000,-7.34641800,-0.028040000,0.339933000,-0.311892000
1,0,0,1,-728.9864060,-32.24585200,-8.186430000,-0.027965000,0.347769000,-0.319805000
